Account Status,Duration in month,Credit History,Purpose,Credit amount,Savings account or bonds,Present employment since,Instalment rate in percentage of disposable income,Personal status and sex,Other debtors or guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Target
No Checking account,36,critical account/ other credits existing (not at this bank),car(used),11054,Savings account,1 - 4 years,4,male : single,none,2,"car or other, not in attribute 6",30,none,own,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
No Checking account,6,existing credits paid back duly till now,radio/television,518,Savings account,1 - 4 years,3,female : divorced/separated/married,none,1,real estate,29,none,own,1,skilled employee / official,1,None,yes,1
No Checking account,12,no credits taken/ all credits paid back duly,furniture/equipment,2759,Savings account,> 7 years,2,male : single,none,4,building society savings agreement/ life insurance,34,none,own,2,skilled employee / official,1,None,yes,1
No Checking account,24,existing credits paid back duly till now,car(used),2670,Savings account,> 7 years,4,male : single,none,4,"car or other, not in attribute 6",35,none,own,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,24,existing credits paid back duly till now,car(new),4817,Savings account,4- 7 years,2,male : single,co-applicant,3,building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2
No Checking account,24,existing credits paid back duly till now,car(used),2679,Savings account, < 1 year,4,female : divorced/separated/married,none,1,unknown / no property,29,none,own,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,11,critical account/ other credits existing (not at this bank),car(new),3905,Savings account,1 - 4 years,2,male : single,none,2,real estate,36,none,rent,2,skilled employee / official,2,None,yes,1
Salary assignments for at least 1 year,12,existing credits paid back duly till now,car(used),3386,Savings account,> 7 years,3,male : single,none,4,unknown / no property,35,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,2
Salary assignments for at least 1 year,6,existing credits paid back duly till now,domestic appliances,343,Savings account, < 1 year,4,female : divorced/separated/married,none,1,real estate,27,none,own,1,skilled employee / official,1,None,yes,1
No Checking account,18,existing credits paid back duly till now,radio/television,4594,Savings account, < 1 year,3,male : single,none,2,"car or other, not in attribute 6",32,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,36,existing credits paid back duly till now,furniture/equipment,3620,Savings account,1 - 4 years,1,male : single,guarantor,2,building society savings agreement/ life insurance,37,none,own,1,skilled employee / official,2,None,yes,1
Salary assignments for at least 1 year,15,existing credits paid back duly till now,car(new),1721,Savings account, < 1 year,2,male : single,none,3,real estate,36,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,12,existing credits paid back duly till now,furniture/equipment,3017,Savings account, < 1 year,3,female : divorced/separated/married,none,1,real estate,34,none,rent,1,"management/ self-employed/
highly qualified employee/ officer",1,None,yes,1
Salary assignments for at least 2 year,12,existing credits paid back duly till now,retraining,754,Savings account,> 7 years,4,male : single,none,4,building society savings agreement/ life insurance,38,none,own,2,skilled employee / official,1,None,yes,1
No Checking account,18,existing credits paid back duly till now,business,1950,Savings account,4- 7 years,4,male : single,none,1,"car or other, not in attribute 6",34,stores,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,24,existing credits paid back duly till now,car(used),2924,Savings account,1 - 4 years,3,male : single,guarantor,4,unknown / no property,63,bank,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,24,delay in paying off in the past,radio/television,1659,Savings account, < 1 year,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",29,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes,2
No Checking account,48,delay in paying off in the past,radio/television,7238,Savings account,> 7 years,3,male : single,none,3,"car or other, not in attribute 6",32,bank,own,2,skilled employee / official,2,None,yes,1
No Checking account,33,delay in paying off in the past,business,2764,Savings account,1 - 4 years,2,female : divorced/separated/married,none,2,"car or other, not in attribute 6",26,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,24,delay in paying off in the past,car(used),4679,Savings account,4- 7 years,3,male : single,none,3,"car or other, not in attribute 6",35,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,24,existing credits paid back duly till now,radio/television,3092,Savings account, < 1 year,3,male : married/widowed,none,2,"car or other, not in attribute 6",22,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,2
Salary assignments for at least 1 year,6,existing credits paid back duly till now,education,448,Savings account, < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,23,none,own,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 1 year,9,existing credits paid back duly till now,car(new),654,Savings account,1 - 4 years,4,male : single,none,3,"car or other, not in attribute 6",28,none,own,1,unskilled - resident,1,None,yes,2
No Checking account,6,existing credits paid back duly till now,retraining,1238,Savings account,unemployed,4,male : single,none,4,building society savings agreement/ life insurance,36,none,own,1,"management/ self-employed/
highly qualified employee/ officer",2,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,18,critical account/ other credits existing (not at this bank),radio/television,1245,Savings account,1 - 4 years,4,male : married/widowed,none,2,"car or other, not in attribute 6",33,none,own,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 1 year,18,no credits taken/ all credits paid back duly,furniture/equipment,3114,Savings account, < 1 year,1,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,26,none,rent,1,skilled employee / official,1,None,yes,2
No Checking account,39,existing credits paid back duly till now,car(used),2569,Savings account,1 - 4 years,4,male : single,none,4,"car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 3 year,24,existing credits paid back duly till now,radio/television,5152,Savings account,4- 7 years,4,male : single,none,2,"car or other, not in attribute 6",25,bank,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,12,existing credits paid back duly till now,business,1037,Savings account,4- 7 years,3,male : single,none,4,real estate,39,none,own,1,unskilled - resident,1,None,yes,1
Salary assignments for at least 1 year,15,critical account/ other credits existing (not at this bank),furniture/equipment,1478,Savings account,> 7 years,4,male : single,none,4,"car or other, not in attribute 6",44,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,12,critical account/ other credits existing (not at this bank),radio/television,3573,Savings account,1 - 4 years,1,female : divorced/separated/married,none,1,real estate,23,none,own,1,unskilled - resident,1,None,yes,1
Salary assignments for at least 2 year,24,existing credits paid back duly till now,car(new),1201,Savings account, < 1 year,4,male : single,none,1,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,30,existing credits paid back duly till now,furniture/equipment,3622,Savings account,> 7 years,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,57,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,15,delay in paying off in the past,furniture/equipment,960,Savings account,4- 7 years,3,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,30,none,own,2,skilled employee / official,1,None,yes,1
No Checking account,12,critical account/ other credits existing (not at this bank),car(new),1163,Savings account,1 - 4 years,4,male : single,none,4,real estate,44,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,6,delay in paying off in the past,car(new),1209,Savings account,unemployed,4,male : single,none,4,building society savings agreement/ life insurance,47,none,own,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,2
No Checking account,12,existing credits paid back duly till now,radio/television,3077,Savings account,1 - 4 years,2,male : single,none,4,"car or other, not in attribute 6",52,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,24,existing credits paid back duly till now,car(new),3757,Savings account,> 7 years,4,female : divorced/separated/married,co-applicant,4,unknown / no property,62,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,10,existing credits paid back duly till now,car(new),1418,Savings account,1 - 4 years,3,male : single,none,2,real estate,35,none,rent,1,unskilled - resident,1,None,no,1
No Checking account,6,existing credits paid back duly till now,car(new),3518,Savings account,1 - 4 years,2,male : single,guarantor,3,building society savings agreement/ life insurance,26,none,rent,1,skilled employee / official,1,None,yes,1
No Checking account,12,critical account/ other credits existing (not at this bank),radio/television,1934,Savings account,> 7 years,2,male : single,none,2,unknown / no property,26,none,own,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,27,no credits taken/ all credits paid back duly,business,8318,Savings account,> 7 years,2,female : divorced/separated/married,none,4,unknown / no property,42,none,for free,2,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,2
No Checking account,6,critical account/ other credits existing (not at this bank),radio/television,1237,Savings account,1 - 4 years,1,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,6,existing credits paid back duly till now,radio/television,368,Savings account,> 7 years,4,male : single,none,4,building society savings agreement/ life insurance,38,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,12,critical account/ other credits existing (not at this bank),car(new),2122,Savings account,1 - 4 years,3,male : single,none,2,real estate,39,none,rent,2,unskilled - resident,2,None,no,1
Salary assignments for at least 1 year,24,existing credits paid back duly till now,furniture/equipment,2996,Savings account,1 - 4 years,2,male : married/widowed,none,4,"car or other, not in attribute 6",20,none,own,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 2 year,36,existing credits paid back duly till now,furniture/equipment,9034,Savings account, < 1 year,4,male : single,co-applicant,1,unknown / no property,29,none,rent,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,2
No Checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,1585,Savings account,4- 7 years,4,male : single,none,3,building society savings agreement/ life insurance,40,none,own,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,18,existing credits paid back duly till now,radio/television,1301,Savings account,> 7 years,4,male : married/widowed,guarantor,2,real estate,32,none,own,1,unskilled - resident,1,None,yes,1
Salary assignments for at least 3 year,6,critical account/ other credits existing (not at this bank),car(new),1323,Savings account,> 7 years,2,male : divorced/separated,none,4,"car or other, not in attribute 6",28,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,24,existing credits paid back duly till now,car(new),3123,Savings account, < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,27,none,own,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 1 year,36,existing credits paid back duly till now,car(used),5493,Savings account,> 7 years,2,male : single,none,4,unknown / no property,42,none,for free,1,skilled employee / official,2,None,yes,1
Salary assignments for at least 3 year,9,existing credits paid back duly till now,radio/television,1126,Savings account,> 7 years,2,male : divorced/separated,none,4,real estate,49,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,24,critical account/ other credits existing (not at this bank),radio/television,1216,Savings account, < 1 year,4,male : single,none,4,unknown / no property,38,bank,own,2,skilled employee / official,2,None,yes,2
Salary assignments for at least 1 year,24,existing credits paid back duly till now,car(new),1207,Savings account, < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1,None,yes,2
No Checking account,10,existing credits paid back duly till now,car(new),1309,Savings account,1 - 4 years,4,male : single,guarantor,4,building society savings agreement/ life insurance,27,none,own,1,unskilled - resident,1,None,yes,2
Salary assignments for at least 3 year,15,critical account/ other credits existing (not at this bank),car(used),2360,Savings account,1 - 4 years,2,male : single,none,2,"car or other, not in attribute 6",36,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,15,all credits at this bank paid back duly,car(new),6850,Savings account,unemployed,1,male : single,none,2,building society savings agreement/ life insurance,34,none,own,1,"management/ self-employed/
highly qualified employee/ officer",2,"yes, registered under the customers name",yes,2
No Checking account,24,existing credits paid back duly till now,radio/television,1413,Savings account,1 - 4 years,4,male : married/widowed,none,2,building society savings agreement/ life insurance,28,none,own,1,skilled employee / official,1,None,yes,1
No Checking account,39,existing credits paid back duly till now,car(used),8588,Savings account,> 7 years,4,male : single,none,2,"car or other, not in attribute 6",45,none,own,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,12,existing credits paid back duly till now,car(new),759,Savings account,4- 7 years,4,male : single,none,2,real estate,26,none,own,1,skilled employee / official,1,None,yes,2
No Checking account,36,existing credits paid back duly till now,car(used),4686,Savings account,1 - 4 years,2,male : single,none,2,unknown / no property,32,none,for free,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
Salary assignments for at least 3 year,15,existing credits paid back duly till now,business,2687,Savings account,4- 7 years,2,male : single,none,4,building society savings agreement/ life insurance,26,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,12,delay in paying off in the past,radio/television,585,Savings account,1 - 4 years,4,male : married/widowed,co-applicant,4,real estate,20,none,rent,2,skilled employee / official,1,None,yes,1
No Checking account,24,existing credits paid back duly till now,car(new),2255,Savings account, < 1 year,4,male : single,none,1,building society savings agreement/ life insurance,54,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),car(new),609,Savings account,4- 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,37,none,own,2,skilled employee / official,1,None,no,1
Salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),car(new),1361,Savings account, < 1 year,2,male : single,none,4,real estate,40,none,own,1,unskilled - resident,2,None,no,1
No Checking account,36,critical account/ other credits existing (not at this bank),furniture/equipment,7127,Savings account, < 1 year,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,23,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,2
Salary assignments for at least 1 year,6,existing credits paid back duly till now,car(new),1203,Savings account,> 7 years,3,male : single,none,2,building society savings agreement/ life insurance,43,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,6,critical account/ other credits existing (not at this bank),radio/television,700,Savings account,> 7 years,4,male : single,none,4,unknown / no property,36,none,for free,2,skilled employee / official,1,None,yes,1
No Checking account,24,critical account/ other credits existing (not at this bank),repairs,5507,Savings account,> 7 years,3,male : single,none,4,unknown / no property,44,none,for free,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,18,existing credits paid back duly till now,radio/television,3190,Savings account,1 - 4 years,2,female : divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 1 year,48,no credits taken/ all credits paid back duly,furniture/equipment,7119,Savings account,1 - 4 years,3,male : single,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2,None,yes,2
No Checking account,24,existing credits paid back duly till now,car(used),3488,Savings account,4- 7 years,3,female : divorced/separated/married,none,4,"car or other, not in attribute 6",23,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,18,existing credits paid back duly till now,radio/television,1113,Savings account,1 - 4 years,4,female : divorced/separated/married,guarantor,4,real estate,26,none,own,1,unskilled - resident,2,None,yes,1
Salary assignments for at least 2 year,26,existing credits paid back duly till now,car(used),7966,Savings account, < 1 year,2,male : single,none,3,"car or other, not in attribute 6",30,none,own,2,skilled employee / official,1,None,yes,1
No Checking account,15,critical account/ other credits existing (not at this bank),education,1532,Savings account,1 - 4 years,4,female : divorced/separated/married,none,3,"car or other, not in attribute 6",31,none,own,1,skilled employee / official,1,None,yes,1
No Checking account,4,critical account/ other credits existing (not at this bank),radio/television,1503,Savings account,4- 7 years,2,male : single,none,1,real estate,42,none,own,2,unskilled - resident,2,None,yes,1
Salary assignments for at least 1 year,36,existing credits paid back duly till now,radio/television,2302,Savings account,1 - 4 years,4,male : divorced/separated,none,4,"car or other, not in attribute 6",31,none,rent,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 1 year,6,existing credits paid back duly till now,car(new),662,Savings account, < 1 year,3,male : single,none,4,real estate,41,none,own,1,unskilled - resident,2,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,36,existing credits paid back duly till now,education,2273,Savings account,4- 7 years,3,male : single,none,1,"car or other, not in attribute 6",32,none,own,2,skilled employee / official,2,None,yes,1
Salary assignments for at least 2 year,15,existing credits paid back duly till now,car(new),2631,Savings account,1 - 4 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute 6",28,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,2
No Checking account,12,delay in paying off in the past,car(used),1503,Savings account,1 - 4 years,4,male : married/widowed,none,4,real estate,41,none,rent,1,skilled employee / official,1,None,yes,1
No Checking account,24,existing credits paid back duly till now,radio/television,1311,Savings account,4- 7 years,4,male : married/widowed,none,3,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,24,existing credits paid back duly till now,radio/television,3105,Savings account, < 1 year,4,male : single,none,2,"car or other, not in attribute 6",25,none,own,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 3 year,21,critical account/ other credits existing (not at this bank),education,2319,Savings account, < 1 year,2,male : divorced/separated,none,1,"car or other, not in attribute 6",33,none,rent,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 1 year,6,existing credits paid back duly till now,car(new),1374,Savings account,unemployed,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,75,none,own,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,18,critical account/ other credits existing (not at this bank),furniture/equipment,3612,Savings account,> 7 years,3,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,48,existing credits paid back duly till now,car(new),7763,Savings account,> 7 years,4,male : single,none,4,unknown / no property,42,bank,for free,1,"management/ self-employed/
highly qualified employee/ officer",1,None,yes,2
Salary assignments for at least 3 year,18,existing credits paid back duly till now,furniture/equipment,3049,Savings account, < 1 year,1,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,45,stores,own,1,unskilled - resident,1,None,yes,1
Salary assignments for at least 2 year,12,existing credits paid back duly till now,radio/television,1534,Savings account, < 1 year,1,male : married/widowed,none,1,real estate,23,none,rent,1,skilled employee / official,1,None,yes,2
No Checking account,24,delay in paying off in the past,car(new),2032,Savings account,> 7 years,4,male : single,none,4,unknown / no property,60,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,30,existing credits paid back duly till now,furniture/equipment,6350,Savings account,> 7 years,4,male : single,none,4,building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 3 year,18,existing credits paid back duly till now,furniture/equipment,2864,Savings account,1 - 4 years,2,male : single,none,1,real estate,34,none,own,1,unskilled - resident,2,None,yes,2
No Checking account,12,critical account/ other credits existing (not at this bank),car(new),1255,Savings account,> 7 years,4,male : single,none,4,real estate,61,none,own,2,unskilled - resident,1,None,yes,1
Salary assignments for at least 1 year,24,delay in paying off in the past,car(new),1333,Savings account,unemployed,4,male : single,none,2,real estate,43,none,for free,2,skilled employee / official,2,None,yes,2
No Checking account,24,critical account/ other credits existing (not at this bank),car(new),2022,Savings account,1 - 4 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,24,existing credits paid back duly till now,radio/television,1552,Savings account,4- 7 years,3,male : single,none,1,"car or other, not in attribute 6",32,bank,own,1,skilled employee / official,2,None,yes,1
Salary assignments for at least 1 year,12,all credits at this bank paid back duly,radio/television,626,Savings account,1 - 4 years,4,female : divorced/separated/married,none,4,real estate,24,bank,own,1,unskilled - resident,1,None,yes,2
No Checking account,48,critical account/ other credits existing (not at this bank),car(used),8858,Savings account,4- 7 years,2,male : single,none,1,unknown / no property,35,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,12,critical account/ other credits existing (not at this bank),repairs,996,Savings account,4- 7 years,4,female : divorced/separated/married,none,4,real estate,23,none,own,2,skilled employee / official,1,None,yes,1
No Checking account,6,all credits at this bank paid back duly,radio/television,1750,Savings account,> 7 years,2,male : single,none,4,building society savings agreement/ life insurance,45,bank,own,1,unskilled - resident,2,None,yes,1
Salary assignments for at least 1 year,48,existing credits paid back duly till now,radio/television,6999,Savings account,4- 7 years,1,male : married/widowed,guarantor,1,real estate,34,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,2
Salary assignments for at least 2 year,12,critical account/ other credits existing (not at this bank),car(new),1995,Savings account, < 1 year,4,male : single,none,1,"car or other, not in attribute 6",27,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,9,existing credits paid back duly till now,education,1199,Savings account,4- 7 years,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,67,none,own,2,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,12,existing credits paid back duly till now,radio/television,1331,Savings account, < 1 year,2,male : single,none,1,"car or other, not in attribute 6",22,stores,own,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 2 year,18,no credits taken/ all credits paid back duly,car(new),2278,Savings account, < 1 year,3,female : divorced/separated/married,none,3,"car or other, not in attribute 6",28,none,own,2,skilled employee / official,1,None,yes,2
No Checking account,21,no credits taken/ all credits paid back duly,car(new),5003,Savings account,1 - 4 years,1,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,29,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,2
Salary assignments for at least 1 year,24,all credits at this bank paid back duly,furniture/equipment,3552,Savings account,4- 7 years,3,male : single,none,4,"car or other, not in attribute 6",27,bank,own,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 2 year,18,critical account/ other credits existing (not at this bank),furniture/equipment,1928,Savings account, < 1 year,2,male : single,none,2,real estate,31,none,own,2,unskilled - resident,1,None,yes,2
Salary assignments for at least 1 year,24,existing credits paid back duly till now,car(used),2964,Savings account,> 7 years,4,male : single,none,4,unknown / no property,49,bank,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,24,all credits at this bank paid back duly,radio/television,1546,Savings account,4- 7 years,4,male : single,guarantor,4,"car or other, not in attribute 6",24,bank,rent,1,unskilled - resident,1,None,yes,2
Salary assignments for at least 3 year,6,delay in paying off in the past,radio/television,683,Savings account, < 1 year,2,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,29,bank,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,36,existing credits paid back duly till now,car(new),12389,Savings account,1 - 4 years,1,male : single,none,4,unknown / no property,37,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,2
Salary assignments for at least 2 year,24,delay in paying off in the past,business,4712,Savings account,1 - 4 years,4,male : single,none,2,building society savings agreement/ life insurance,37,bank,own,2,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,24,delay in paying off in the past,radio/television,1553,Savings account,4- 7 years,3,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,23,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,12,existing credits paid back duly till now,car(new),1372,Savings account,4- 7 years,2,male : divorced/separated,none,3,"car or other, not in attribute 6",36,none,own,1,skilled employee / official,1,None,yes,2
No Checking account,24,critical account/ other credits existing (not at this bank),radio/television,2578,Savings account,> 7 years,2,male : single,none,2,"car or other, not in attribute 6",34,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,48,existing credits paid back duly till now,radio/television,3979,Savings account,4- 7 years,4,male : single,none,1,"car or other, not in attribute 6",41,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,48,existing credits paid back duly till now,radio/television,6758,Savings account,1 - 4 years,3,female : divorced/separated/married,none,2,"car or other, not in attribute 6",31,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2
Salary assignments for at least 1 year,24,existing credits paid back duly till now,furniture/equipment,3234,Savings account, < 1 year,4,female : divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes,2
No Checking account,30,critical account/ other credits existing (not at this bank),radio/television,5954,Savings account,4- 7 years,3,male : single,co-applicant,2,"car or other, not in attribute 6",38,none,own,1,skilled employee / official,1,None,yes,1
No Checking account,24,existing credits paid back duly till now,car(used),5433,Savings account,unemployed,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,26,none,rent,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,15,existing credits paid back duly till now,business,806,Savings account,1 - 4 years,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,22,none,own,1,unskilled - resident,1,None,yes,1
Salary assignments for at least 2 year,9,existing credits paid back duly till now,radio/television,1082,Savings account,> 7 years,4,male : single,none,4,"car or other, not in attribute 6",27,none,own,2,unskilled - resident,1,None,yes,1
No Checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,2788,Savings account,4- 7 years,2,female : divorced/separated/married,co-applicant,3,"car or other, not in attribute 6",24,bank,own,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,12,existing credits paid back duly till now,radio/television,2930,Savings account,4- 7 years,2,female : divorced/separated/married,none,1,real estate,27,none,own,1,skilled employee / official,1,None,yes,1
No Checking account,24,critical account/ other credits existing (not at this bank),education,1927,Savings account,1 - 4 years,3,female : divorced/separated/married,none,2,"car or other, not in attribute 6",33,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,36,critical account/ other credits existing (not at this bank),car(new),2820,Savings account, < 1 year,4,male : divorced/separated,none,4,"car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,None,yes,2
No Checking account,24,existing credits paid back duly till now,retraining,937,Savings account, < 1 year,4,male : married/widowed,none,3,"car or other, not in attribute 6",27,none,own,2,unskilled - resident,1,None,yes,1
Salary assignments for at least 2 year,18,critical account/ other credits existing (not at this bank),car(new),1056,Savings account,> 7 years,3,male : single,guarantor,3,real estate,30,bank,own,2,skilled employee / official,1,None,yes,2
Salary assignments for at least 2 year,12,critical account/ other credits existing (not at this bank),car(new),3124,Savings account, < 1 year,1,male : single,none,3,real estate,49,bank,own,2,unskilled - resident,2,None,yes,1
No Checking account,9,existing credits paid back duly till now,furniture/equipment,1388,Savings account,1 - 4 years,4,female : divorced/separated/married,none,2,real estate,26,none,rent,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,36,existing credits paid back duly till now,repairs,2384,Savings account, < 1 year,4,male : single,none,1,unknown / no property,33,none,rent,1,unskilled - resident,1,None,yes,2
No Checking account,12,existing credits paid back duly till now,car(new),2133,Savings account,> 7 years,4,female : divorced/separated/married,none,4,unknown / no property,52,none,for free,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,18,existing credits paid back duly till now,furniture/equipment,2039,Savings account,1 - 4 years,1,female : divorced/separated/married,none,4,real estate,20,bank,rent,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 1 year,9,critical account/ other credits existing (not at this bank),car(new),2799,Savings account,1 - 4 years,2,male : single,none,2,real estate,36,none,rent,2,skilled employee / official,2,None,yes,1
Salary assignments for at least 1 year,12,existing credits paid back duly till now,furniture/equipment,1289,Savings account,1 - 4 years,4,male : single,guarantor,1,building society savings agreement/ life insurance,21,none,own,1,unskilled - resident,1,None,yes,1
